Name,Purpose & context,URL
bat,Nicer `cat`,
cloc,Counts LoC in codebases,
dunst,Notifications,
entr,inotify-like watcher. Execute command when files change,
fzf,Fuzzy finder,
gh,Github via CLI. Usable for quickly entering TODOs with some attributes and for listing open issues and displaying with i3blocks,
git-filter-repo,Can extract directory of git repo to its own repo,
gron,Turns JSON into grep:able lines of text and back again,
htop,Good enough system monitor,
lazygit,Very similar to Magit. Slightly less intuitive but working in the terminal without all of Emacs is more comfy.,https://github.com/jesseduffield/lazygit
litecli,Better CLI for sqlite. See mycli,https://github.com/dbcli/litecli
mycli,Better CLI for mysql. See litecli,https://github.com/dbcli/mycli
pavucontrol,Choosing device for sound output,
ripdrag,“ripdrag filename” creates a small window with “filename” that you can use for drop-friendly interfaces,https://github.com/nik012003/ripdrag
ripgrep,More ergonomic search than grep,
serve,Serve directory via HTTP,github.com/chelmertz/serve
shellcheck,Lints bash scripts,
wmctrl,API capabilities for X.org,
xcape,Rebind keys. For example: pressing caps=esc & holding caps=ctrl,
z,Interface to MRU directories when `cd`:ing around,
zenity,Interactive bash scripts. Very useful with i3blocks,
