Name,Purpose & context,URL
Asciinema,Record terminal interactions,https://asciinema.org/
Draw.io,Diagrams,https://app.diagrams.net/
Excalidraw,Diagrams,https://excalidraw.com/
FlameGraph,Hierarchical profile viewer,https://github.com/brendangregg/FlameGraph
Github actions,CI/CD,https://github.com/features/actions
Ilograph,"Great alternative to mermaid, draw.io, excalidraw; many good concepts like multiple perspectives of a single source",https://ilograph.com/
Mermaid,Diagrams,https://mermaid.js.org/
Notion,Wiki,https://www.notion.so/
Numbr,Adds up numbers in plaintext. Good for splitting costs,https://numbr.dev/
Shellcheck,Lints bash scripts,https://www.shellcheck.net/
Uptime Kuma,Simple monitoring tool,https://uptime.kuma.pet/
Pagefind,Embeddable search engine (with index),https://pagefind.app/
